rank,team,points_if_available
1,France,1877.32
2,Spain,1876.40
3,Argentina,1874.81
4,England,1825.97
5,Portugal,1763.83
6,Brazil,1761.16
7,Netherlands,1757.87
8,Morocco,1755.87
9,Belgium,1734.71
10,Germany,1730.37
11,Croatia,1717.07
12,Italy,1700.37
13,Colombia,1693.09
14,Senegal,1688.99
15,Mexico,1681.03
16,USA,1673.13
17,Uruguay,1673.07
18,Japan,1660.43
19,Switzerland,1649.40
20,Denmark,1620.81
21,Iran,1615.30
22,Türkiye,1599.04
23,Ecuador,1594.78
24,Austria,1593.45
25,South Korea,1588.66
26,Nigeria,1585.09
27,Australia,1580.67
28,Algeria,1564.26
29,Egypt,1563.24
30,Canada,1556.48
31,Norway,1550.94
32,Ukraine,1546.88
33,Panama,1540.64
34,Côte d'Ivoire,1532.98
35,Poland,1528.00
36,Russia,1525.60
37,Wales,1524.29
38,Sweden,1514.77
39,Serbia,1508.65
40,Paraguay,1503.50
41,Czechia,1501.38
42,Hungary,1500.58
43,Scotland,1498.35
44,Tunisia,1483.05
45,Cameroon,1481.24
46,DR Congo,1478.35
47,Greece,1475.82
48,Slovakia,1473.94
49,Venezuela,1468.05
50,Uzbekistan,1465.34
51,Costa Rica,
52,Mali,
53,Peru,
54,Chile,
55,Qatar,
56,Romania,
57,Iraq,
58,Slovenia,
59,Ireland,
60,South Africa,
61,Saudi Arabia,
62,Burkina Faso,
63,Jordan,
64,Albania,
65,Bosnia & Herzegovina,
66,Honduras,
67,North Macedonia,
68,United Arab Emirates,
69,Cape Verde,
70,Northern Ireland,
71,Jamaica,
72,Georgia,
73,Finland,
74,Ghana,
75,Iceland,
76,Bolivia,
77,Israel,
78,Kosovo,
79,Oman,
80,Guinea,
81,Montenegro,
82,Curacao,
83,Haiti,
84,Syria,
85,New Zealand,
86,Bulgaria,
87,Gabon,
88,Uganda,
89,Angola,
90,Benin,
91,Bahrain,
92,Zambia,
93,Thailand,
94,China,
95,Palestine,
96,Guatemala,
97,Belarus,
98,Luxembourg,
99,Vietnam,
100,El Salvador,
101,Mozambique,
102,Trinidad and Tobago,
103,Tajikistan,
104,Madagascar,
105,Equatorial Guinea,
106,Armenia,
107,Kyrgyzstan,
108,Lebanon,
109,Comoros,
110,Kazakhstan,
111,Kenya,
112,Libya,
113,Tanzania,
114,Niger,
115,Mauritania,
116,Gambia,
117,Sudan,
118,North Korea,
119,Sierra Leone,
120,Namibia,
121,Togo,
122,Indonesia,
123,Faroe Islands,
124,Azerbaijan,
125,Suriname,
126,Cyprus,
127,Malawi,
128,Rwanda,
129,Estonia,
130,Zimbabwe,
131,Nicaragua,
132,Guinea-Bissau,
133,Congo Republic,
134,Kuwait,
135,Philippines,
136,India,
137,Latvia,
138,Malaysia,
139,Central African Republic,
140,Liberia,
141,Turkmenistan,
142,Burundi,
143,Dominican Republic,
144,Ethiopia,
145,Lesotho,
146,Botswana,
147,Singapore,
148,Lithuania,
149,Yemen,
150,Guyana,
151,New Caledonia,
152,Saint Kitts and Nevis,
153,Solomon Islands,
154,Fiji,
155,Hong Kong,
156,Puerto Rico,
157,Tahiti,
158,Myanmar,
159,Moldova,
160,Vanuatu,
161,Malta,
162,Antigua and Barbuda,
163,Grenada,
164,Cuba,
165,Eswatini,
166,Bermuda,
167,Saint Lucia,
168,Papua New Guinea,
169,Afghanistan,
170,South Sudan,
171,Saint Vincent & The Grenadines,
172,Maldives,
173,Andorra,
174,Chinese Taipei,
175,Montserrat,
176,Nepal,
177,Cambodia,
178,Mauritius,
179,Barbados,
180,Belize,
181,Bangladesh,
182,Dominica,
183,Chad,
184,Eritrea,
185,Laos,
186,Bhutan,
187,Mongolia,
188,Cook Islands,
189,Aruba,
190,Samoa,
191,Sri Lanka,
192,American Samoa,
193,Brunei Darussalam,
194,Macau,
195,Cayman Islands,
196,Sao Tome and Principe,
197,Djibouti,
198,Somalia,
199,Tonga,
200,East Timor,
201,Guam,
202,Pakistan,
203,Gibraltar,
204,Seychelles,
205,Turks & Caicos Islands,
206,Liechtenstein,
207,Bahamas,
208,British Virgin Islands,
209,US Virgin Islands,
210,Anguilla,
211,San Marino
